1,Đường Cao Thắng,
2,Đường Lê Đình Lý,
3,Đường Hùng Vương,
4,Đường Lê Lợi,
5,Đường 3.2,
6,Đường Nguyễn Chí Thanh,
7,Đường Phan Châu Trinh,
8,Đường Tiểu La,
9,Đường 2.9,
10,Đường Quang Trung,
11,Đường Đống Đa,
12,Đường Nguyễn Du,
13,Đường Lý Tự Trọng,
14,Đường Hoàng Diệu,
15,Đường Ông Ích Khiêm,
16,Đường Nguyễn Hoàng,
17,Đường Thái Phiên,
18,Đường Lê Hồng Phong,
19,Đường Hoàng Văn Thụ,
20,Đường Yên Bái,
21,Đường Trưng Nữ Vương,
22,Đường Ngô Gia Tự,
23,Đường Triệu Nữ Vương,
24,Đường Cao Thắng,
25,Đường Bắc Đẩu,
26,Đường Hải Hồ,
27,Đường Pasteur,
28,Đường Lê Đình Dương,
29,Đường Nguyễn Văn Linh,
30,Đường Lê Thanh Nghị,
31,Đường Xô Viết Nghệ Tĩnh,
32,Đường Trần Phú,
33,Đường Bạch Đằng,
1,Đường Nguyễn Tất Thành,
2,Đường Thái Thị Bôi,
3,Đường Lê Độ,
4,Đường Trường Chinh,
5,Đường Hải Phòng,
6,Đường Điện Biên Phủ,
7,Đường Hà Huy Tập,
8,Đường Trần Cao Vân,
9,Đường Nguyễn Tri Phương,
10,Đường Lê Lợi,
11,Đường Hùng Vương,
12,Đường Lê Đình Lý,
13,Đường Duy Tân,
14,Đường Tiểu La,
15,Đường Nguyễn Phước Nguyên,
16,Đường Xô Viết Nghệ Tĩnh,
17,Đường 2.9,
2,Đường Nguyễn tất Thành,
3,Đường Bàu Tràm,
4,Đường Âu Cơ,
5,Đường Đoàn Phú Thứ,
6,Đường Nam Cao,
7,Đường Lạc Long Quân,
8,Đường Nguyễn Sinh Sắc,
9,Đường Kinh Dương Vương,
10,Đường Nguyên Chánh,
11,Đường Trần Đình Tri,
12,Đường Hoàng Văn Thái,
13,Đường Tố Hữu,
14,Đường Tôn Đức Thắng,
1,Đường Yết Kiêu,
2,Đường Lý Tử Tấn,
3,Đường Hoàng Sa,
4,Đường Lê Đức Thọ,
5,Đường Phan Bá Phiến,
6,Đường Trần Nhân Tông,
7,Đường Trương Định,
8,Đường Chu Huy Mân,
9,Đường Nại Hiên Đông,
10,Đường Dương Lâm,
11,Đường Lê Văn Duyệt,
12,Đường Dương Vân Nga,
13,Đường Lê Chân,
14,Đường Lý Đạo Hành,
15,Đường Ngô Quyền,
16,Đường Lê Văn Thứ,
17,Đường Võ Nguyên Giáp,
18,Đường Hồ Nghinh,
19,Đường Nguyễn Công Trứ,
20,Đường Võ Văn Kiệt,
21,Đường Lê Hữu Trác,
22,Đường Nguyễn Văn Thoại,
23,Đường Trần Hưng Đạo,
24,Đường Lê Văn Duyệt,
1,Đường Võ Nguyên Giáp,
2,Đường Lê Quang Đạo,
3,Đường Châu Thị Vĩnh tế,
4,Đường Phan Tứ,
5,Đường Trần Văn Dư,
6,Đường Hồ Xuân Hương,
7,Đường Bà Huyện Thanh Quan,
8,Đường Võ Như Hưng,
9,Đường Hoài Thanh,
10,Đường An Dương Vương,
11,Đường Phạm Hữu Kính,
12,Đường Lê Văn Hưu,
13,Đường Hồ Huân Nghiệp,
14,Nguyễn Lữ,
15,Đoàn Khuê,
16,Đường Trịnh Lỗi,
17,Đường Nghiêm Xuân yêm,
18,Đường Minh Mạng,
19,Đường Nguyễn Xiến,
20,Trường Sa,
21,Đường Nguyễn Duy Trinh,
22,Đường Mai Đăng Chơn,
23,Đường Võ Chí Công,
24,Đường Phạm Đức Nam,
25,Đường Lê Quát,
1,Đường Trường Chinh,
2,Đường Tôn Đản,
3,Đường Lê Trọng Tấn,
4,Đường Lê Đại Hành,
5,Đường Xô Viết Nghệ Tĩnh,
6,Đường Thăng Long,
7,Đường Phạm Tứ,
8,Đường Phan Khôi,
9,Đường Lê Quang Định,
10,Đường Trần Nam Trung,
11,Đường Võ Chí Công,
12,Đường Hồ Sĩ Dương,
1,Đường Quốc lộ 14B,
2,Phường Hòa Hiệp Bắc,
3,Phường Hòa Hiệp Nam,
4,Phường Hòa Khánh Bắc,
5,Phường Hòa Khánh Nam,
6,Phường Hòa Minh,
7,Phường Tam Thuận,
8,Phường Thanh Khê Tây,
9,Phường Thanh Khê Đông,
10,Phường Xuân Hà,
11,Phường Tân Chính,
12,Phường Chính Gián,
13,Phường Vĩnh Trung,
14,Phường Thạc Gián,
15,Phường An Khê,
16,Phường Hòa Khê,
17,Phường Thanh Bình,
18,Phường Thuận Phước,
19,Phường Thạch Thang,
20,Phường Hải Châu I,
21,Phường Hải Châu II,
22,Phường Phước Ninh,
23,Phường Hòa Thuận Tây,
24,Phường Hòa Thuận Đông,
25,Phường Nam Dương,
26,Phường Bình Hiên,
27,Phường Bình Thuận,
28,Phường Hòa Cường Bắc,
29,Phường Hòa Cường Nam,
30,Phường Thọ Quang,
31,Phường Nại Hiên Đông,
32,Phường Mân Thái,
33,Phường An Hải Bắc,
34,Phường Phước Mỹ,
35,Phường An Hải Tây,
36,Phường An Hải Đông,
37,Phường Mỹ An,
38,Phường Khuê Mỹ,
39,Phường Hoà Quý,
40,Phường Hoà Hải,
41,Phường Khuê Trung,
42,Phường Hòa Phát,
43,Phường Hòa An,
44,Phường Hòa Thọ Tây,
45,Phường Hòa Thọ Đông,
46,Phường Hòa Xuân,
47,Xã Hòa Bắc,
48,Xã Hòa Liên,
49,Xã Hòa Ninh,
50,Xã Hòa Sơn,
51,Xã Hòa Nhơn,
52,Xã Hòa Phú,
53,Xã Hòa Phong,
54,Xã Hòa Châu,
55,Xã Hòa Tiến,
56,Xã Hòa Phước,
57,Xã Hòa Khương,
