stt,Quận Hải Châu,Quận Thanh Khê,Quận Liên Chiểu,Quận Sơn Trà,Quận Ngũ Hành Sơn,Quận Cẩm Lệ,Huyện Hòa Vang,
1,Đường Cao Thắng,Đường Nguyễn Tất Thành,Đường Nguyễn Lương Bằng,Đường Yết Kiêu,Đường Võ Nguyên Giáp,Đường Trường Chinh,Đường Quốc lộ 14B,
2,Đường Lê Đình Lý,Đường Thái Thị Bôi,Đường Nguyễn tất Thành,Đường Lý Tử Tấn,Đường Lê Quang Đạo,Đường Tôn Đản,Xã Hòa Bắc,
3,Đường Hùng Vương,Đường Lê Độ,Đường Bàu Tràm,Đường Hoàng Sa,Đường Châu Thị Vĩnh tế,Đường Lê Trọng Tấn,Xã Hòa Liên,
4,Đường Lê Lợi,Đường Trường Chinh,Đường Âu Cơ,Đường Lê Đức Thọ,Đường Phan Tứ,Đường Lê Đại Hành,Xã Hòa Ninh,
5,Đường 3.2,Đường Hải Phòng,Đường Đoàn Phú Thứ,Đường Phan Bá Phiến,Đường Trần Văn Dư,Đường Xô Viết Nghệ Tĩnh,Xã Hòa Sơn,
6,Đường Nguyễn Chí Thanh,Đường Điện Biên Phủ,Đường Nam Cao,Đường Trần Nhân Tông,Đường Hồ Xuân Hương,Đường Thăng Long,Xã Hòa Nhơn,
7,Đường Phan Châu Trinh,Đường Hà Huy Tập,Đường Lạc Long Quân,Đường Trương Định,Đường Bà Huyện Thanh Quan,Đường Phạm Tứ,Xã Hòa Phú,
8,Đường Tiểu La,Đường Trần Cao Vân,Đường Nguyễn Sinh Sắc,Đường Chu Huy Mân,Đường Võ Như Hưng,Đường Phan Khôi,Xã Hòa Phong,
9,Đường 2 tháng 9,Đường Nguyễn Tri Phương,Đường Kinh Dương Vương,Đường Nại Hiên Đông,Đường Hoài Thanh,Đường Lê Quang Định,Xã Hòa Châu,
10,Đường Quang Trung,Đường Lê Lợi,Đường Nguyên Chánh,Đường Dương Lâm,Đường An Dương Vương,Đường Trần Nam Trung,Xã Hòa Tiến,
11,Đường Đống Đa,Đường Hùng Vương,Đường Trần Đình Tri,Đường Lê Văn Duyệt,Đường Phạm Hữu Kính,Đường Võ Chí Công,Xã Hòa Phước,
12,Đường Nguyễn Du,Đường Lê Đình Lý,Đường Hoàng Văn Thái,Đường Dương Vân Nga,Đường Lê Văn Hưu,Đường Hồ Sĩ Dương,Xã Hòa Khương,
13,Đường Lý Tự Trọng,Đường Duy Tân,Đường Tố Hữu,Đường Lê Chân,Đường Hồ Huân Nghiệp,Phường Khuê Trung,,
14,Đường Hoàng Diệu,Đường Tiểu La,Đường Tôn Đức Thắng,Đường Lý Đạo Hành,Nguyễn Lữ,Phường Hòa Phát,,
15,Đường Ông Ích Khiêm,Đường Nguyễn Phước Nguyên,Phường Hòa Hiệp Bắc,Đường Ngô Quyền,Đoàn Khuê,Phường Hòa An,,
16,Đường Nguyễn Hoàng,Đường Xô Viết Nghệ Tĩnh,Phường Hòa Hiệp Nam,Đường Lê Văn Thứ,Đường Trịnh Lỗi,Phường Hòa Thọ Tây,,
17,Đường Thái Phiên,Đường 2 tháng 9,Phường Hòa Khánh Bắc,Đường Võ Nguyên Giáp,Đường Nghiêm Xuân yêm,Phường Hòa Thọ Đông,,
18,Đường Lê Hồng Phong,Phường Tam Thuận,Phường Hòa Khánh Nam,Đường Hồ Nghinh,Đường Minh Mạng,Phường Hòa Xuân,,
19,Đường Hoàng Văn Thụ,Phường Thanh Khê Tây,Phường Hòa Minh,Đường Nguyễn Công Trứ,Đường Nguyễn Xiến,,,
20,Đường Yên Bái,Phường Thanh Khê Đông,,Đường Võ Văn Kiệt,Trường Sa,,,
21,Đường Trưng Nữ Vương,Phường Xuân Hà,,Đường Lê Hữu Trác,Đường Nguyễn Duy Trinh,,,
22,Đường Ngô Gia Tự,Phường Tân Chính,,Đường Nguyễn Văn Thoại,Đường Mai Đăng Chơn,,,
23,Đường Triệu Nữ Vương,Phường Chính Gián,,Đường Trần Hưng Đạo,Đường Võ Chí Công,,,
24,Đường Cao Thắng,Phường Vĩnh Trung,,Đường Lê Văn Duyệt,Đường Phạm Đức Nam,,,
25,Đường Bắc Đẩu,Phường Thạc Gián,,Phường Thọ Quang,Đường Lê Quát,,,
26,Đường Hải Hồ,Phường An Khê,,Phường Nại Hiên Đông,Phường Mỹ An,,,
27,Đường Pasteur,Phường Hòa Khê,,Phường Mân Thái,Phường Khuê Mỹ,,,
28,Đường Lê Đình Dương,,,Phường An Hải Bắc,Phường Hoà Quý,,,
29,Đường Nguyễn Văn Linh,,,Phường Phước Mỹ,Phường Hoà Hải,,,
30,Đường Lê Thanh Nghị,,,Phường An Hải Tây,,,,
31,Đường Xô Viết Nghệ Tĩnh,,,Phường An Hải Đông,,,,
32,Đường Trần Phú,,,,,,,
33,Đường Bạch Đằng,,,,,,,
34,Phường Thanh Bình,,,,,,,
35,Phường Thuận Phước,,,,,,,
36,Phường Thạch Thang,,,,,,,
37,Phường Hải Châu I,,,,,,,
38,Phường Hải Châu II,,,,,,,
39,Phường Phước Ninh,,,,,,,
40,Phường Hòa Thuận Tây,,,,,,,
41,Phường Hòa Thuận Đông,,,,,,,
42,Phường Nam Dương,,,,,,,
43,Phường Bình Hiên,,,,,,,
44,Phường Bình Thuận,,,,,,,
45,Phường Hòa Cường Bắc,,,,,,,
46,Phường Hòa Cường Nam,,,,,,,
